algorithm,n,run,time_ms,nodes_explored,path_cost
manhattan,4,13,0.046875,96,59
manhattan,4,14,0.05175,96,59
manhattan,4,15,0.050875,96,59
manhattan,4,16,0.051584,96,59
manhattan,4,17,0.052041,96,59
manhattan,4,18,0.046458,96,59
manhattan,4,19,0.052375,96,59
manhattan,4,20,0.05125,96,59
euclidean,4,1,0.052541,96,59
euclidean,4,2,0.051583,96,59
euclidean,4,3,0.047958,96,59
euclidean,4,4,0.05,96,59
euclidean,4,5,0.057167,96,59
euclidean,4,6,0.047375,96,59
euclidean,4,7,0.053542,96,59
euclidean,4,8,0.049542,96,59
euclidean,4,9,0.05525,96,59
euclidean,4,10,0.056542,96,59
euclidean,4,11,0.05475,96,59
euclidean,4,12,0.053417,96,59
euclidean,4,13,0.081083,96,59
euclidean,4,14,0.055958,96,59
euclidean,4,15,0.052,96,59
euclidean,4,16,0.148625,96,59
euclidean,4,17,0.069625,96,59
euclidean,4,18,0.051417,96,59
euclidean,4,19,0.053792,96,59
euclidean,4,20,0.056083,96,59
chebyshev,4,1,0.049334,96,59
chebyshev,4,2,0.111916,96,59
chebyshev,4,3,0.047167,96,59
chebyshev,4,4,0.064583,96,59
chebyshev,4,5,0.074583,96,59
chebyshev,4,6,0.047167,96,59
chebyshev,4,7,0.052125,96,59
chebyshev,4,8,0.051791,96,59
chebyshev,4,9,0.047709,96,59
chebyshev,4,10,0.0495,96,59
chebyshev,4,11,0.049375,96,59
chebyshev,4,12,0.045875,96,59
chebyshev,4,13,0.04725,96,59
chebyshev,4,14,0.04675,96,59
chebyshev,4,15,0.046833,96,59
chebyshev,4,16,0.048584,96,59
chebyshev,4,17,0.048375,96,59
chebyshev,4,18,0.045834,96,59
chebyshev,4,19,0.046458,96,59
chebyshev,4,20,0.048833,96,59
manhattan,5,1,0.05175,94,62
manhattan,5,2,0.052417,94,62
manhattan,5,3,0.051375,94,62
manhattan,5,4,0.05125,94,62
manhattan,5,5,0.047125,94,62
manhattan,5,6,0.053625,94,62
manhattan,5,7,0.05375,94,62
manhattan,5,8,0.051709,94,62
manhattan,5,9,0.055708,94,62
manhattan,5,10,0.051208,94,62
manhattan,5,11,0.047834,94,62
manhattan,5,12,0.049917,94,62
manhattan,5,13,0.053875,94,62
manhattan,5,14,0.051458,94,62
manhattan,5,15,0.052458,94,62
manhattan,5,16,0.0585,94,62
manhattan,5,17,0.052375,94,62
manhattan,5,18,0.053958,94,62
manhattan,5,19,0.046666,94,62
