algorithm,n,run,time_ms,nodes_explored,path_cost
chebyshev,4,6,0.047334,96,59
chebyshev,4,7,0.047542,96,59
chebyshev,4,8,0.04725,96,59
chebyshev,4,9,0.051417,96,59
chebyshev,4,10,0.047125,96,59
chebyshev,4,11,0.046917,96,59
chebyshev,4,12,0.046208,96,59
chebyshev,4,13,0.051125,96,59
chebyshev,4,14,0.051208,96,59
chebyshev,4,15,0.046084,96,59
chebyshev,4,16,0.048,96,59
chebyshev,4,17,0.047459,96,59
chebyshev,4,18,0.047375,96,59
chebyshev,4,19,0.048292,96,59
chebyshev,4,20,0.04625,96,59
manhattan,5,1,0.052042,94,62
manhattan,5,2,0.052334,94,62
manhattan,5,3,0.052333,94,62
manhattan,5,4,0.052958,94,62
manhattan,5,5,0.050375,94,62
manhattan,5,6,0.052209,94,62
manhattan,5,7,0.047875,94,62
manhattan,5,8,0.056083,94,62
manhattan,5,9,0.052541,94,62
manhattan,5,10,0.053667,94,62
manhattan,5,11,0.054417,94,62
manhattan,5,12,0.050875,94,62
manhattan,5,13,0.051208,94,62
manhattan,5,14,0.055291,94,62
manhattan,5,15,0.053292,94,62
manhattan,5,16,0.054916,94,62
manhattan,5,17,0.049916,94,62
manhattan,5,18,0.048208,94,62
manhattan,5,19,0.0615,94,62
manhattan,5,20,0.074792,94,62
euclidean,5,1,0.049834,94,62
euclidean,5,2,0.048042,94,62
euclidean,5,3,0.048083,94,62
euclidean,5,4,0.05225,94,62
euclidean,5,5,0.0545,94,62
euclidean,5,6,0.053875,94,62
euclidean,5,7,0.052542,94,62
euclidean,5,8,0.053542,94,62
euclidean,5,9,0.054042,94,62
euclidean,5,10,0.0485,94,62
euclidean,5,11,0.051042,94,62
euclidean,5,12,0.049458,94,62
euclidean,5,13,0.0515,94,62
euclidean,5,14,0.050459,94,62
euclidean,5,15,0.048625,94,62
euclidean,5,16,0.050167,94,62
euclidean,5,17,0.04825,94,62
euclidean,5,18,0.049041,94,62
euclidean,5,19,0.075042,94,62
euclidean,5,20,0.053709,94,62
chebyshev,5,1,0.048292,94,62
chebyshev,5,2,0.047875,94,62
chebyshev,5,3,0.046583,94,62
chebyshev,5,4,0.053125,94,62
chebyshev,5,5,0.04875,94,62
chebyshev,5,6,0.059416,94,62
chebyshev,5,7,0.051167,94,62
chebyshev,5,8,0.047834,94,62
chebyshev,5,9,0.049166,94,62
chebyshev,5,10,0.046833,94,62
chebyshev,5,11,0.046041,94,62
chebyshev,5,12,0.0525,94,62
chebyshev,5,13,0.053166,94,62
chebyshev,5,14,0.048375,94,62
chebyshev,5,15,0.04825,94,62
chebyshev,5,16,0.048541,94,62
chebyshev,5,17,0.047625,94,62
chebyshev,5,18,0.050875,94,62
chebyshev,5,19,0.04825,94,62
chebyshev,5,20,0.048209,94,62
manhattan,6,1,0.054292,94,48
manhattan,6,2,0.051542,94,48
manhattan,6,3,0.053209,94,48
manhattan,6,4,0.051834,94,48
manhattan,6,5,0.05425,94,48
manhattan,6,6,0.046375,94,48
manhattan,6,7,0.052334,94,48
manhattan,6,8,0.056042,94,48
manhattan,6,9,0.05175,94,48
manhattan,6,10,0.051708,94,48
manhattan,6,11,0.053625,94,48
manhattan,6,12,0.047291,94,48
manhattan,6,13,0.052834,94,48
manhattan,6,14,0.052292,94,48
manhattan,6,15,0.047875,94,48
manhattan,6,16,0.051708,94,48
manhattan,6,17,0.048291,94,48
manhattan,6,18,0.046875,94,48
manhattan,6,19,0.047041,94,48
manhattan,6,20,0.047791,94,48
euclidean,6,1,0.049042,94,48
euclidean,6,2,0.052625,94,48
euclidean,6,3,0.052917,94,48
euclidean,6,4,0.053125,94,48
euclidean,6,5,0.055084,94,48
euclidean,6,6,0.04975,94,48
euclidean,6,7,0.053209,94,48
euclidean,6,8,0.054791,94,48
euclidean,6,9,0.056208,94,48
euclidean,6,10,0.052125,94,48
euclidean,6,11,0.053333,94,48
euclidean,6,12,0.051541,94,48
euclidean,6,13,0.054583,94,48
euclidean,6,14,0.052125,94,48
euclidean,6,15,0.054292,94,48
euclidean,6,16,0.053375,94,48
euclidean,6,17,0.047625,94,48
euclidean,6,18,0.049584,94,48
euclidean,6,19,0.053167,94,48
euclidean,6,20,0.050375,94,48
chebyshev,6,1,0.049792,94,48
chebyshev,6,2,0.052167,94,48
chebyshev,6,3,0.046791,94,48
chebyshev,6,4,0.049291,94,48
chebyshev,6,5,0.047417,94,48
chebyshev,6,6,0.049375,94,48
chebyshev,6,7,0.048625,94,48
chebyshev,6,8,0.04775,94,48
chebyshev,6,9,0.052833,94,48
chebyshev,6,10,0.048875,94,48
